TimeStamp,MaxX,MaxY,MaxMagnitude,MinMagnitude,AverageMagnitude,DiffMagnitude,MaxTiltAngleX,AverageTiltAngleX,MinTiltAngleX,MaxZ,MaxTiltAngleY,MinTiltAngleY,AverageTiltAngleY,MaxTiltAngleZ,MinTiltAngleZ,AverageTiltAngleZ,MinX,MinY,MinZ,AverageX,AverageY,AverageZ,Situation,Activity
9102016,8,71,548.3374873,494.4016586,22.82140205,53.93582875,0.015410492,-0.074181788,-0.209017118,545,0.137996369,-0.019450444,0.056099813,1.533368642,1.361643972,1.463417357,-112,-10,493,-38.65753425,29.05479452,517.6164384,용접,서서 용접
9102016,34,100,560.660325,487.5335886,22.84666689,73.12673639,0.063481648,-0.055834621,-0.157933,560,0.198349743,-0.034259511,0.096755898,1.541578754,1.351114452,1.443557455,-82,-19,482,-28.87341772,50.12658228,517.4303797,용접,서서 용접
9102016,141,297,614.8048471,473.8470217,22.90864925,140.9578254,0.24127389,-0.056447619,-0.286316259,601,0.530343498,-0.032536388,0.154926753,1.512391456,0.972006226,1.375367363,-158,-20,444,-27.5375,79.7875,511.175,용접,서서 용접
9102016,107,521,706.9575659,345.1434484,22.6623722,361.8141175,0.238210501,-0.19270595,-0.559674213,699,0.850156649,0.007441855,0.525430836,1.495937402,0.667582127,0.964989831,-289,3,288,-102.4109589,257.7808219,417.109589,용접,서서 용접
9102016,167,269,687.4772724,337.0904923,23.08605873,350.3867801,0.36595514,-0.028122936,-0.346239842,640,0.461223932,-0.012074559,0.274610593,1.464574461,1.108673963,1.241843832,-163,-5,326,-21.24675325,151.025974,505.4545455,용접,서서 용접
9102016,306,394,649.468244,314.7093898,22.38148062,334.7588543,0.582982474,0.283461087,-0.123640719,626,0.864550313,0.157767547,0.5641837,1.369708896,0.63214652,0.897836622,-73,93,211,136.2405063,256.3037975,387.7974684,용접,서서 용접
9102016,210,1024,1207.014499,372.8230143,22.98043892,834.1914844,0.341282036,-0.124043368,-0.55018785,712,1.298746583,-0.007331239,0.851596273,1.499329145,0.111531863,0.655352233,-257,-3,43,-61.19277108,376.6987952,311.3493976,용접,누워서 용접
9102016,138,605,624.3668793,395.6374603,22.82838075,228.729419,0.260668791,0.019851581,-0.19267359,161,1.499552005,0.573980912,1.082182169,0.348002339,-0.969248871,-0.384794903,-98,281,-494,12.11764706,437.2058824,-185.2941176,용접,누워서 용접
9102016,109,399,966.2737707,486.569625,23.16787173,479.7041457,0.202449812,0.094354493,-0.062134175,-445,0.553428555,0.133881353,0.302765259,-1.011082957,-1.416952077,-1.249199301,-60,71,-878,49.33333333,162.1754386,-507.3684211,용접,누워서 용접
9102016,51,143,521.580291,503.1947933,22.6492036,18.38549774,0.10028083,0.070414155,0.032862798,-485,0.284356053,0.217150054,0.249205914,-1.27102312,-1.335413532,-1.310805965,17,111,-506,36.0754717,126.4716981,-495.6792453,용접,누워서 용접
9102016,62,145,522.6681548,503.4540694,22.62240001,19.21408536,0.122073539,0.093209449,0.05661531,-482,0.291451558,0.239803018,0.260007353,-1.269580055,-1.321958447,-1.293412685,29,123,-506,47.61538462,131.5384615,-492.2,용접,누워서 용접
9102016,59,141,526.7105467,503.0397599,22.63688278,23.67078684,0.114991267,0.092936378,0.06349046,-482,0.280196502,0.24243759,0.26386971,-1.276886485,-1.309717127,-1.289865643,33,125,-508,47.56,133.62,-492.34,용접,누워서 용접
9102016,65,148,520.5276169,504.9940594,22.6305892,15.53355757,0.126377575,0.097179093,0.074994255,-483,0.294821321,0.252347241,0.272842898,-1.260365613,-1.303188034,-1.27999993,39,127,-502,49.68333333,137.9833333,-490.6333333,용접,누워서 용접
9102016,118,299,704.4103917,483.5183554,23.24061698,220.8920364,0.209361184,0.108754757,-0.036312557,-427,0.593388244,0.096685201,0.32697895,-0.968955919,-1.472354508,-1.222819496,-20,68,-701,58.55555556,173.1428571,-505.6825397,용접,누워서 용접
9102016,185,691,785.0324834,288.0590217,22.26068867,496.9734617,0.267566748,-0.048018758,-0.283818242,304,1.456060384,0.48163461,1.023798347,0.683856811,-1.080657131,-0.037583,-161,211,-579,-14.93589744,414.2307692,-48.82051282,용접,누워서 용접
9102016,90,526,601.2495322,414.4333481,22.64298934,186.8161841,0.163699565,0.041429704,-0.07500626,404,1.273284589,0.744547888,0.956950602,0.818661918,0.29748412,0.607886014,-37,332,146,22.26666667,413.8666667,291.96,용접,누워서 용접
9102016,452,651,823.8622458,360.072215,23.15818488,463.7900308,0.885109424,0.405878796,-0.042673765,330,1.007630985,0.404846987,0.81203445,0.700092544,0.363444572,0.553014759,-21,143,180,210.6666667,395.2266667,276.1866667,용접,누워서 용접
9102016,331,679,783.9955357,301.1079541,21.8701419,482.8875816,0.496621385,0.043239286,-0.304991201,385,1.192186043,0.813665202,1.016050652,0.75296193,0.301053619,0.519617571,-212,271,120,19.97222222,407.3888889,238.8472222,용접,누워서 용접
9102016,299,681,797.5117554,341.9751453,22.10876177,455.5366101,0.57766555,-0.077844488,-0.34900141,358,1.07641245,0.672383273,0.901433316,0.832802556,0.460248746,0.601774855,-210,213,236,-40.88,385.1066667,273.76,이동,걷기
9102016,451,406,604.110917,432.6395729,22.543967,171.4713441,0.866829878,0.540660773,-0.075133725,311,0.982582322,0.442497962,0.687397999,0.69040398,0.425376058,0.55647488,-38,237,212,259.260274,316.9178082,265.890411,이동,걷기
9102016,90,569,648.9452982,430.8155058,22.56614423,218.1297924,0.170986689,0.010605361,-0.192171083,348,1.087894191,0.752771224,0.950386188,0.7969353,0.478115165,0.610302403,-93,316,206,6.405063291,414.3037975,291.3924051,이동,걷기
